Stock,RMSE,Sharpe_Ratio,Strategy_Return
AOT,0.4291413721808175,1.06,0.1956
ADVANC,2.954332522717564,2.39,0.1534
BANPU,0.3218386381338966,-0.79,-0.3096
BBL,1.263280384145059,-2.21,-0.38170000000000004
BDMS,0.2644736831068585,1.91,0.3567
BEM,0.09425658241201136,2.1,0.4779
BH,2.258690792326454,1.42,0.2527
BTS,0.1534279101914642,1.6,0.33240000000000003
CBG,1.664539870927918,-1.84,-0.4501
CENTEL,0.5406311052343972,-0.12,-0.127
COM_7,0.1079380811523006,-1.51,-0.3962
CPALL,0.6222294991970237,0.12,-0.004699999999999999
CPF,0.4205941807236991,1.76,0.3492
CPN,0.6892110069749943,-0.15,-0.1246
DELTA,0.1302565765309562,-0.18,-0.12960000000000002
EA,0.753649740760726,0.78,0.1193
EGCO,5.13260060115844,-1.41,-0.3155
GLOBAL,0.1581745870046692,1.85,0.4894
GPSC,1.281168295252102,-0.21,-0.1479
HMPRO,0.1238077047661713,1.99,0.5301
INTUCH,0.5909884045161422,0.39,0.030899999999999997
IVL,0.6950241567642234,2.06,0.6674
KBANK,2.279073548748724,-1.24,-0.30579999999999996
KTB,0.17096191670764,-2.03,-0.364
KTC,0.4143631591832502,-0.77,-0.2687
LH,0.1183836754963147,-2.0,-0.3525
MINT,0.5875821076451656,-1.81,-0.4768
MTC,0.5311182330718833,2.33,0.8759999999999999
PTT,0.2289949424039494,0.59,0.0636
PTTEP,1.580529235267443,-1.19,-0.42479999999999996
PTTGC,0.8009661040217542,0.23,-0.0642
RATCH,0.2369799967542134,0.44,0.0371
SAWAD,1.106161385163998,1.33,0.3472
SCC,4.592501527614524,0.03,-0.0369
TISCO,0.5147626810793786,-1.14,-0.2285
TOP,1.192583923909017,-0.52,-0.25670000000000004
TTB,0.02933941690736888,-0.29,-0.1636
TU,0.2718107155454525,1.8,0.3589
WHA,0.06239379486957621,-0.21,-0.15039999999999998
