Stock,RMSE,Sharpe_Ratio,Strategy_Return
AOT,0.6923633233246043,1.13,0.0942
ADVANC,3.347811344558609,2.39,0.1437
BANPU,0.3613482304587479,-0.75,-0.10830000000000001
BBL,1.556698347276109,0.61,0.032799999999999996
BDMS,0.31006379529215,0.83,0.064
BEM,0.09344064922624452,-0.77,-0.062
BH,5.378578241063435,-0.78,-0.064
BTS,0.122552568453305,-1.02,-0.1295
CBG,1.453746229413023,-0.04,-0.0227
CENTEL,0.7071899104812798,-0.5,-0.047
COM_7,6.401353805540921,1.8,0.31679999999999997
CPALL,1.046486377826517,1.11,0.08990000000000001
CPF,0.3989994342858249,-0.44,-0.054900000000000004
CPN,0.9053836389804337,1.33,0.1096
DELTA,4.164944006364706,3.32,0.6884
EA,0.7948525139956062,0.02,-0.024300000000000002
EGCO,3.189017524004182,2.27,0.2403
GLOBAL,0.2498945407209729,1.06,0.10769999999999999
GPSC,3.27317739342165,3.19,0.5044
HMPRO,0.2531304792653771,0.72,0.0608
INTUCH,0.6838748851947124,3.39,0.2368
IVL,1.013481487344605,-1.34,-0.1834
KBANK,1.644213473354947,1.4,0.0955
KTB,0.1681801874237468,1.42,0.1295
KTC,1.052437145709601,2.51,0.24239999999999998
LH,0.1568726989235164,-0.08,-0.0147
MINT,0.6274189659503073,-0.45,-0.053099999999999994
MTC,7.422622500356895,5.31,0.8139
PTT,0.4297567292888458,0.62,0.034
PTTEP,1.752228443694502,1.79,0.14029999999999998
PTTGC,1.331767239565544,0.47,0.037000000000000005
RATCH,0.7766269069537198,0.08,-0.0036
SAWAD,1.074069750113169,1.78,0.2119
SCC,5.212432762690268,-1.56,-0.107
TISCO,1.11881608318253,1.99,0.0616
TOP,2.113286528505649,2.48,0.2346
TTB,0.01956711905196223,0.46,0.0316
TU,0.3103361907182429,0.49,0.031
WHA,0.1088820494004106,3.42,0.43090000000000006
