Stock,RMSE,Sharpe_Ratio,Strategy_Return
AOT,1.358011187995903,-0.45,-0.048499999999999995
ADVANC,1.746407984396939,3.28,0.2022
BANPU,0.1189549516091306,-0.93,-0.1273
BBL,1.196391017734311,-0.41,-0.0292
BDMS,0.2200115084643291,1.7,0.14550000000000002
BEM,0.08475260834992786,0.1,0.0004
BH,1.996262463550215,0.8,0.054299999999999994
BTS,0.08470445294875908,-0.79,-0.10529999999999999
CBG,1.349797155582903,-0.9,-0.11939999999999999
CENTEL,0.6003101990167481,-2.01,-0.1551
COM_7,4.362421745347515,2.64,0.518
CPALL,0.467385610943888,0.41,0.0263
CPF,0.2886004425395517,0.19,0.0068000000000000005
CPN,0.960818168815188,2.77,0.25120000000000003
DELTA,2.319516059646092,6.11,1.574
EA,0.6952917532259749,-1.09,-0.17
EGCO,1.586691455935146,-0.42,-0.0547
GLOBAL,0.2046354452293296,1.22,0.128
GPSC,0.7686335293907877,1.06,0.1309
HMPRO,0.1278513024128241,2.69,0.2862
INTUCH,0.5324766455754677,2.95,0.2034
IVL,0.4517345846911205,0.2,0.0040999999999999995
KBANK,1.435248067522287,2.63,0.19210000000000002
KTB,0.2312512694763763,0.75,0.0608
KTC,0.5079330837200214,0.9,0.0742
LH,0.07461701450558056,2.14,0.1808
MINT,0.4320265182537018,0.3,0.0173
MTC,2.98845737787956,3.5,0.48869999999999997
PTT,0.3599013495728026,0.83,0.047599999999999996
PTTEP,1.196408601245395,2.68,0.2194
PTTGC,0.6286344203904536,1.87,0.20579999999999998
RATCH,0.3438550726349588,-0.4,-0.0471
SAWAD,0.669379469335709,0.85,0.0864
SCC,3.237312515645364,-0.28,-0.024900000000000002
TISCO,0.5936599512576809,0.15,0.0034999999999999996
TOP,0.8811250096969294,1.9,0.1729
TTB,0.01738536608669692,1.64,0.1485
TU,0.1933403145762788,0.46,0.0286
WHA,0.04863639694962073,0.96,0.09539999999999998
