Stock,RMSE,Sharpe_Ratio,Strategy_Return
AOT,0.4671003984569986,2.02,0.4965
ADVANC,2.037714643371495,0.83,0.0931
BANPU,0.1301169117574214,-1.3,-0.41859999999999997
BBL,1.142710903714903,-1.52,-0.3013
BDMS,0.1901289124199642,1.94,0.3661
BEM,0.1107616851497704,0.78,0.11539999999999999
BH,1.220199649496461,1.69,0.318
BTS,0.1011787138915012,0.69,0.0934
CBG,0.9686783535921951,1.32,0.3045
CENTEL,0.2775661115827477,0.62,0.0779
COM_7,0.1165312547188959,-2.54,-0.5382
CPALL,0.6177640492752245,0.6,0.057
CPF,0.2878838389999859,2.14,0.4675
CPN,0.414777184804953,0.23,-0.030899999999999997
DELTA,0.02959739402241029,-0.08,-0.1075
EA,0.6752354085350499,0.33,0.0089
EGCO,3.516506651188239,0.16,-0.0278
GLOBAL,0.1306251158950698,-0.48,-0.1916
GPSC,0.4353565175471956,1.1,0.23079999999999998
HMPRO,0.1796573528102674,0.13,-0.047
INTUCH,0.3531646144141185,1.6,0.25079999999999997
IVL,0.4107060751025758,0.46,0.0176
KBANK,1.269271036289061,-0.97,-0.2613
KTB,0.1031986969507991,-2.03,-0.3696
KTC,0.4259482456536831,0.05,-0.0815
LH,0.07499233261936185,-0.58,-0.1499
MINT,0.3166960419410547,-0.7,-0.282
MTC,0.1993002273417114,1.52,0.43920000000000003
PTT,0.2762793952038971,1.03,0.19699999999999998
PTTEP,0.6335557175235368,-1.44,-0.46990000000000004
PTTGC,0.6192000058327315,-0.32,-0.2164
RATCH,0.5428651040688214,1.2,0.21030000000000001
SAWAD,0.1421239691483676,0.52,0.0363
SCC,2.50311235623592,0.28,0.0092
TISCO,0.6245197161663028,0.83,0.1189
TOP,0.5408756261996673,-0.77,-0.3139
TTB,0.01511688378349288,0.17,-0.051399999999999994
TU,0.1137585085421603,1.58,0.3031
WHA,0.02670048627169837,0.32,-0.015300000000000001
