Stock,RMSE,Sharpe_Ratio,Strategy_Return
AOT,1.122084585996404,1.2,0.1027
ADVANC,1.937533351260846,2.25,0.1441
BANPU,0.1854074688622714,-0.39,-0.0662
BBL,1.667162556651773,-1.63,-0.1054
BDMS,0.2621776760233357,3.74,0.36450000000000005
BEM,0.09902035405715924,-0.76,-0.0611
BH,2.127209381037916,0.78,0.0617
BTS,0.08510728203451719,-0.39,-0.0592
CBG,1.688762383199133,0.64,0.0646
CENTEL,0.6875307222687915,-1.81,-0.14279999999999998
COM_7,0.7434503568310685,2.73,0.5745
CPALL,0.6101070542511777,1.05,0.0886
CPF,0.3462156312502142,0.64,0.0554
CPN,1.112486816627623,2.73,0.2633
DELTA,1.38285841738207,4.21,1.0466
EA,0.8631940774724509,-0.65,-0.128
EGCO,1.99732596398636,0.92,0.0748
GLOBAL,0.2489205672998552,2.3,0.3068
GPSC,0.735656553003224,1.39,0.2034
HMPRO,0.1670115737433501,-0.91,-0.0992
INTUCH,0.6953154419895009,3.81,0.2887
IVL,0.6589730909381097,-0.09,-0.042199999999999994
KBANK,1.886413084378169,2.92,0.2274
KTB,0.1916191102320402,1.02,0.08689999999999999
KTC,0.7263370407644009,0.15,0.0026
LH,0.09202946326236447,0.96,0.0698
MINT,0.5300822478655689,-1.53,-0.1631
MTC,1.092101741088958,2.29,0.35009999999999997
PTT,0.4509843661950418,2.24,0.14880000000000002
PTTEP,1.727091135032496,2.88,0.25780000000000003
PTTGC,0.72158498647326,1.84,0.2208
RATCH,0.3169303635506334,-0.58,-0.068
SAWAD,0.9069412554266829,1.15,0.1361
SCC,3.450281560307814,-1.25,-0.0906
TISCO,0.8332132817812358,0.61,0.022000000000000002
TOP,0.8987506622181531,-1.95,-0.1753
TTB,0.02253535606645197,2.24,0.2217
TU,0.2144286047236546,0.81,0.0591
WHA,0.04874816881609544,1.45,0.17370000000000002
