Stock,RMSE,Sharpe_Ratio,Strategy_Return
AOT,0.850170379898206,1.02,0.0858
ADVANC,2.954332522717564,2.39,0.1534
BANPU,0.3000694521195175,-0.49,-0.077
BBL,1.937127233374475,0.4,0.0212
BDMS,0.2648885547084827,2.18,0.198
BEM,0.1074824037459887,-0.76,-0.0611
BH,3.537804207517693,-0.79,-0.0786
BTS,0.09848362654365975,-0.25,-0.044800000000000006
CBG,2.321636412259162,-0.36,-0.0665
CENTEL,0.7315926880450981,-2.77,-0.20489999999999997
COM_7,1.898964394617763,3.42,0.7770999999999999
CPALL,0.8693955608250753,0.96,0.0799
CPF,0.4556921340630399,0.64,0.0554
CPN,0.899615507494687,1.9,0.1746
DELTA,2.419972598801071,2.15,0.424
EA,1.167976518880152,-0.46,-0.1005
EGCO,3.466953363094851,2.1,0.1929
GLOBAL,0.2514257532349775,0.64,0.0623
GPSC,1.88750815450428,2.17,0.3553
HMPRO,0.2410923079344017,2.9,0.3156
INTUCH,1.013905378999949,2.93,0.2169
IVL,0.972584356253644,0.07,-0.0189
KBANK,2.58726240601607,2.73,0.2108
KTB,0.1789419887837264,1.67,0.1531
KTC,1.620088784419353,1.78,0.17980000000000002
LH,0.104473535383454,0.33,0.0182
MINT,0.5093932863059709,-0.66,-0.0823
MTC,0.9362354161767267,1.59,0.2238
PTT,0.5278972682886012,2.03,0.1336
PTTEP,2.526381686661075,3.26,0.2965
PTTGC,1.446376621642683,1.48,0.17059999999999997
RATCH,0.4915548028094288,0.22,0.0092
SAWAD,1.373885184783249,2.57,0.35869999999999996
SCC,5.463573307174714,0.24,0.010700000000000001
TISCO,1.039379679363081,1.68,0.0644
TOP,1.250144503405863,-1.0,-0.09939999999999999
TTB,0.03378660697770908,1.9,0.18309999999999998
TU,0.2546494469568519,0.09,-0.0008
WHA,0.07686857742927755,1.94,0.2458
