iter	Passed	Remaining
0	0	65
1	0	48
2	1	43
3	1	38
4	1	35
5	2	33
6	2	31
7	2	30
8	2	29
9	3	28
10	3	28
11	3	27
12	4	26
13	4	26
14	4	25
15	4	25
16	5	24
17	5	24
18	5	23
19	5	23
20	6	22
21	6	22
22	6	21
23	6	21
24	7	21
25	7	20
26	7	20
27	7	20
28	8	19
29	8	19
30	8	19
31	8	18
32	9	18
33	9	18
34	9	18
35	10	17
36	10	17
37	10	17
38	10	16
39	11	16
40	11	16
41	11	15
42	11	15
43	12	15
44	12	15
45	12	14
46	12	14
47	13	14
48	13	13
49	13	13
50	13	13
51	14	13
52	14	12
53	14	12
54	14	12
55	15	11
56	15	11
57	15	11
58	15	11
59	16	10
60	16	10
61	16	10
62	16	9
63	17	9
64	17	9
65	17	9
66	18	8
67	18	8
68	18	8
69	18	8
70	19	7
71	19	7
72	19	7
73	19	7
74	20	6
75	20	6
76	20	6
77	20	5
78	21	5
79	21	5
80	21	5
81	22	4
82	22	4
83	22	4
84	22	4
85	22	3
86	23	3
87	23	3
88	23	2
89	24	2
90	24	2
91	24	2
92	24	1
93	25	1
94	25	1
95	25	1
96	25	0
97	26	0
98	26	0
99	26	0
